product_id,name,price,quantity,brand,warranty_years,category
ELEC-001,Gaming Laptop,1299.99,8,Asus,2,Laptop
ELEC-002,Ultrabook Pro,999.99,5,Dell,2,Laptop
ELEC-003,iPhone 15,899.99,12,Apple,1,Phone
ELEC-004,Galaxy S24,849.99,10,Samsung,1,Phone
ELEC-005,iPad Air,749.99,7,Apple,1,Tablet
ELEC-006,Surface Pro,1099.99,4,Microsoft,2,Tablet
ELEC-007,4K Smart TV 55,699.99,3,Sony,3,TV
ELEC-008,OLED TV 65,1499.99,2,LG,3,TV
ELEC-009,AirPods Pro,249.99,20,Apple,1,Audio
ELEC-010,WH-1000XM5,349.99,9,Sony,2,Audio
ELEC-011,27in Monitor,399.99,6,LG,2,Display
ELEC-012,4K Monitor 32in,599.99,4,Samsung,2,Display
ELEC-013,Mechanical Keyboard,129.99,15,Logitech,2,Accessory
ELEC-014,Wireless Mouse,59.99,18,Logitech,1,Accessory
ELEC-015,USB-C Hub,49.99,25,Anker,1,Accessory
ELEC-016,Portable SSD 1TB,109.99,11,Samsung,3,Storage
ELEC-017,NAS Drive 4TB,189.99,3,Western Digital,3,Storage
ELEC-018,Smart Watch,299.99,8,Garmin,1,Wearable
ELEC-019,Fitness Tracker,79.99,14,Fitbit,1,Wearable
ELEC-020,Webcam 4K,149.99,2,Logitech,2,Accessory
ELEC-243,Keyboard,30.0,7,AJASS,2,Accessory
